"","resource","consumer"
"70","Aetideus","Gymnoscopelus bolini"
"71","Aetideus","Gymnoscopelus braueri"
"72","Aetideus","Gymnoscopelus nicholsi"
"73","Aetideus","Halicreas minimum"
"74","Aetideus","Heterorhabdus austrinus"
"75","Aetideus","Hippopodiidae"
"76","Aetideus","Krefftichthys anderssoni"
"77","Aetideus","Marrus antarcticus"
"78","Aetideus","Mastigoteuthis"
"79","Aetideus","Megalocranchia"
"80","Aetideus","Muggiaea bargmannae"
"81","Aetideus","Nannobrachium achirus"
"82","Aetideus","Neognathophausia gigas"
"83","Aetideus","Notolepis coatsi"
"84","Aetideus","Pandea rubra"
"85","Aetideus","Pantachogon haeckeli"
"86","Aetideus","Paraeuchaeta antarctica"
"87","Aetideus","Paraeuchaeta barbata"
"88","Aetideus","Paraeuchaeta biloba"
"89","Aetideus","Paraeuchaeta rasa"
"90","Aetideus","Paraphyllina ransoni"
"91","Aetideus","Periphylla periphylla"
"92","Aetideus","Phronima sedentaria"
"93","Aetideus","Pleuragramma antarcticum"
"94","Aetideus","Pleurobrachia"
"95","Aetideus","Pleuromamma abdominalis"
"96","Aetideus","Pleuromamma antarctica"
"97","Aetideus","Pleuromamma robusta"
"98","Aetideus","Primno macropa"
"99","Aetideus","Protomyctophum bolini"
"100","Aetideus","Protomyctophum choriodon"
"101","Aetideus","Rosacea plicata"
"102","Aetideus","Sagitta gazellae"
"103","Aetideus","Sagitta marri"
"104","Aetideus","Salpa thompsoni"
"105","Aetideus","Scaphocalanus australis"
"106","Aetideus","Scaphocalanus farrani"
"107","Aetideus","Slosarczykovia circumantarctica"
"108","Aetideus","Solmundella bitentaculata"
"109","Aetideus","Stoloteuthis leucoptera"
"110","Aetideus","Stygiomedusa gigantea"
"111","Aetideus","Themisto gaudichaudii"
"112","Aetideus","Thysanoessa macrura"
"113","Aetideus","Thysanoessa vicina"
"114","Aetideus","Vanadis"
"115","Aetideus","Zanclonia weldoni"
"116","Alacia hettacra","Calycopsis borchgrevinki"
"117","Alacia hettacra","Candacia"
"118","Alacia hettacra","Corycaeus"
"119","Alacia hettacra","Dimophyes arctica"
"120","Alacia hettacra","Diphyes antarctica"
"121","Alacia hettacra","Electrona antarctica"
"122","Alacia hettacra","Eudoxoides spiralis"
"123","Alacia hettacra","Eukrohnia hamata"
"124","Alacia hettacra","Euphausia frigida"
"125","Alacia hettacra","Euphausia triacantha"
"126","Alacia hettacra","Gigantocypris muelleri"
"127","Alacia hettacra","Gilia reticulata"
"128","Alacia hettacra","Gymnoscopelus bolini"
