resource,consumer
Peisos petrunkevitchi,Merluccius hubbsi
Pleoticus muelleri,Merluccius hubbsi
Pterygosquilla armata armata,Merluccius hubbsi
Raneya spp,Merluccius hubbsi
Themisto gaudichaudii,Merluccius hubbsi
Illex argentinus,Mirounga leonina
Merluccius hubbsi,Mirounga leonina
Patagonotothen spp,Mirounga leonina
zooplankton,Mnemiopsis leidyi
Amphipoda,Mullus argentinae
Decapoda,Mullus argentinae
Bivalve,Mullus argentinae
Gasteropods,Mullus argentinae
Polychaeta,Mullus argentinae
isopods,Mullus argentinae
echinoids,Mullus argentinae
zooplankton,Mullus argentinae
Cyanobacteria,Munida gregaria
Decapoda,Munida gregaria
detritus,Munida gregaria
Diatomeas,Munida gregaria
echinoids,Munida gregaria
Gasteropods,Munida gregaria
Macroalgae ,Munida gregaria
Munida gregaria,Munida gregaria
Nematoda,Munida gregaria
Pleoticus muelleri,Munida gregaria
Polychaeta,Munida gregaria
POM,Munida gregaria
Porifera,Munida gregaria
Foraminifera,Munida gregaria
Amphipoda,Mustelus schmitti
Artemesia longinaris,Mustelus schmitti
Dules auriga,Mustelus schmitti
Engraulis anchoita,Mustelus schmitti
Polychaeta,Mustelus schmitti
Illex argentinus,Mustelus schmitti
isopods,Mustelus schmitti
Leucippa pentagona,Mustelus schmitti
Libidoclaea granaria,Mustelus schmitti
Libinia spinosa,Mustelus schmitti
Lithodes santolla,Mustelus schmitti
Majidae,Mustelus schmitti
Merluccius hubbsi,Mustelus schmitti
Munida gregaria,Mustelus schmitti
Mytilus edulis,Mustelus schmitti
Bivalve,Mustelus schmitti
Nereididae,Mustelus schmitti
Octopus tehuelchus,Mustelus schmitti
Paralichthys spp,Mustelus schmitti
Peisos petrunkevitchi,Mustelus schmitti
Peltarion spinosulum,Mustelus schmitti
Pagurus comptus,Mustelus schmitti
Pleoticus muelleri,Mustelus schmitti
Pterygosquilla armata armata,Mustelus schmitti
Raneya spp,Mustelus schmitti
Doryteuthis sanpaulensis,Mustelus schmitti
Balanus spp,Mustelus schmitti
Amphipoda,Myliobatis goodei
Cyrtograpsus spp,Myliobatis goodei
isopods,Myliobatis goodei
Gasteropods,Myliobatis goodei
Bivalve,Myliobatis goodei
Decapoda,Myliobatis goodei
Polychaeta,Myliobatis goodei
Pterygosquilla armata armata,Myliobatis goodei
Mytilus edulis,Myliobatis goodei
Artemesia longinaris,Myliobatis goodei
phytoplankton,Mysidacea
POM,Mysidacea
detritus,Mytilus edulis
Diatomeas,Mytilus edulis
POM,Mytilus edulis
detritus,Myxine spp
POM,Nacella magellanica
Amphipoda,Nemadactylus bergi
isopods,Nemadactylus bergi
Polychaeta,Nemadactylus bergi
Engraulis anchoita,Nemadactylus bergi
Majidae,Nemadactylus bergi
detritus,Nematoda
detritus,Nereididae
Acanthistius patachonicus,Notorynchus cepedianus
Callorhinchus callorynchus,Notorynchus cepedianus
Dipturus chilensis,Notorynchus cepedianus
Illex argentinus,Notorynchus cepedianus
Merluccius hubbsi,Notorynchus cepedianus
Mirounga leonina,Notorynchus cepedianus
Mustelus schmitti,Notorynchus cepedianus
Myxine spp,Notorynchus cepedianus
Odontesthes spp,Notorynchus cepedianus
Paralichthys spp,Notorynchus cepedianus
Trachurus lathami,Notorynchus cepedianus
Polyprion americanus,Notorynchus cepedianus
Pseudopercis semifasciata,Notorynchus cepedianus
Raneya spp,Notorynchus cepedianus
Scomber colias,Notorynchus cepedianus
Seriolella porosa,Notorynchus cepedianus
Squalus acanthias,Notorynchus cepedianus
Stromateus brasiliensis,Notorynchus cepedianus
Aequipecten tehuelchus,Octopus tehuelchus
Cyrtograpsus spp,Octopus tehuelchus
Helcogrammoides cunninghami,Octopus tehuelchus
isopods,Octopus tehuelchus
Leucippa pentagona,Octopus tehuelchus
Leurocyclus tuberculosus,Octopus tehuelchus
Libinia spinosa,Octopus tehuelchus
Mytilus edulis,Octopus tehuelchus
Nacella magellanica,Octopus tehuelchus
